add r3,r4|1b19
add r3,r5|5b19
add r3,r6|9b19
add r3,r7|db19
add r3,r8|4344
add r4,#0|0034
add r4,r0|2418
add r4,r1|6418
add r4,r2|a418
add r4,r3|e418
add r4,r4|2419
add r4,r5|6419
add r4,r6|a419
add r4,r7|e419
add r4,r8|4444
add r5,#0|0035
add r5,r0|2d18
add r5,r1|6d18
add r5,r2|ad18
add r5,r3|ed18
add r5,r4|2d19
add r5,r5|6d19
add r5,r6|ad19
add r5,r7|ed19
add r5,r8|4544
add r6,#0|0036
add r6,r0|3618
add r6,r1|7618
add r6,r2|b618
add r6,r3|f618
add r6,r4|3619
add r6,r5|7619
add r6,r6|b619
add r6,r7|f619
add r6,r8|4644
add r7,#0|0037
add r7,r0|3f18
add r7,r1|7f18
add r7,r2|bf18
add r7,r3|ff18
add r7,r4|3f19
add r7,r5|7f19
add r7,r6|bf19
add r7,r7|ff19
add r7,r8|4744
add r8,r0|8044
add r8,r1|8844
add r8,r2|9044
add r8,r3|9844
add r8,r4|a044
add r8,r5|a844
add r8,r6|b044
add r8,r7|b844
add r8,r8|c044
sub r0,#0|0038
sub r0,r0|001a
sub r0,r1|401a
sub r0,r2|801a
sub r0,r3|c01a
sub r0,r4|001b
sub r0,r5|401b
sub r0,r6|801b
sub r0,r7|c01b
sub r1,#0|0039
sub r1,r0|091a
sub r1,r1|491a
sub r1,r2|891a
sub r1,r3|c91a
sub r1,r4|091b
sub r1,r5|491b
sub r1,r6|891b
sub r1,r7|c91b
sub r2,#0|003a
sub r2,r0|121a
sub r2,r1|521a
sub r2,r2|921a
sub r2,r3|d21a
sub r2,r4|121b
sub r2,r5|521b
sub r2,r6|921b
sub r2,r7|d21b
sub r3,#0|003b
sub r3,r0|1b1a
sub r3,r1|5b1a
sub r3,r2|9b1a
sub r3,r3|db1a
sub r3,r4|1b1b
sub r3,r5|5b1b
sub r3,r6|9b1b
sub r3,r7|db1b
sub r4,#0|003c
sub r4,r0|241a
sub r4,r1|641a
sub r4,r2|a41a
sub r4,r3|e41a
sub r4,r4|241b
sub r4,r5|641b
sub r4,r6|a41b
sub r4,r7|e41b
sub r5,#0|003d
sub r5,r0|2d1a
sub r5,r1|6d1a
sub r5,r2|ad1a
sub r5,r3|ed1a
sub r5,r4|2d1b
sub r5,r5|6d1b
sub r5,r6|ad1b
sub r5,r7|ed1b
sub r6,#0|003e
sub r6,r0|361a
sub r6,r1|761a
sub r6,r2|b61a
sub r6,r3|f61a
sub r6,r4|361b
